"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","GUST","PRCP","TEMP","VISIB","WDSP"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-21","999.9"," 0.00","  84.0","  4.0","  1.0"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-22","999.9"," 0.24","  82.8","  4.0","  2.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-23","999.9"," 0.00","  82.9","  4.0","  1.0"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-24","999.9"," 0.00","  84.4","  4.1","  2.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-25","999.9"," 0.00","  83.7","  4.1","  2.8"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-26","999.9"," 0.01","  82.4","  4.1","  2.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-27","999.9"," 0.00","  84.3","  4.3","  2.7"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-28","999.9"," 1.57","  84.0","  4.1","  3.9"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-29","999.9"," 0.02","  82.6","  3.9","  2.5"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-30","999.9"," 0.24","  82.6","  4.0","  1.5"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-31","999.9"," 0.00","  82.2","  3.8","  2.8"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-04-01","999.9"," 0.00","  83.4","  4.2","  2.3"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-04-02","999.9"," 0.00","  83.1","  4.3","  2.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-04-03","999.9"," 0.00","  86.2","  4.3","  4.0"
